id,level,section,question_type,question,option_a,option_b,option_c,option_d,answer,explanation
Q0016,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［考える］",けんがえる,がんがえる,かんえる,かんがえる,D,「考える」の読みは「かんがえる」。 意味: to think (about)。
Q0017,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［近所］",んじょ,きぬじょ,きんじょ,きんじ,C,「近所」の読みは「きんじょ」。 意味: neighborhood。
Q0018,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［神社］",じんじゃ,じんじや,しんじゃ,じんじ,A,「神社」の読みは「じんじゃ」。 意味: Shinto shrine。
Q0019,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［暖房］",んぼう,だんぼう,だんぼ,だぬぼう,B,「暖房」の読みは「だんぼう」。 意味: heating。
Q0020,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［熱心］",ねっしん,ねっし,ねしん,ねっじん,A,「熱心」の読みは「ねっしん」。 意味: enthusiasm。
Q0021,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［昼間］",びるま,ひるま,こわい,とおく,B,「昼間」の読みは「ひるま」。 意味: daytime。
Q0022,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［文学］",ぶんがぐ,んがく,ぶんがく,ぶんが,C,「文学」の読みは「ぶんがく」。 意味: literature。
Q0023,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［草］",くさ,いそぐ,ぐざ,くび,A,「草」の読みは「くさ」。 意味: grass。
Q0024,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［今度］",ごんど,こんど,たのしみ,こぬど,B,「今度」の読みは「こんど」。 意味: now。
Q0025,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［慣れる］",ねっしん,なれる,おと,たのしみ,B,「慣れる」の読みは「なれる」。 意味: to grow accustomed to。
Q0026,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［手袋］",でぶぐろ,てぶくろ,ぶくろ,てぶろ,B,「手袋」の読みは「てぶくろ」。 意味: glove(s)。
Q0027,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［見つける］",みつる,みづげる,みつける,つける,C,「見つける」の読みは「みつける」。 意味: to discover。
Q0028,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［挨拶］",あいさつする,あいさつす,あいさする,いさつする,A,「挨拶」の読みは「あいさつする」。 意味: greet(ing)。
Q0029,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［決める］",おりる,きめる,ぎめる,やける,B,「決める」の読みは「きめる」。 意味: to decide (v.t.)。
Q0030,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［点］",てぬ,でん,かえり,てん,D,「点」の読みは「てん」。 意味: mark。
Q0031,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［是非］",たてる,だい,ぜび,ぜひ,D,「是非」の読みは「ぜひ」。 意味: certainly。
Q0032,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［為］",ぬすむ,ため,だめ,つく,B,「為」の読みは「ため」。 意味: good。
Q0033,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［ご存じ］",ごぞぬじ,ごぞん,ごぞんじ,ぞんじ,C,「ご存じ」の読みは「ごぞんじ」。 意味: knowing。
Q0034,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［全然］",ぜんぜ,ぜぬぜん,ぜんぜん,んぜん,C,「全然」の読みは「ぜんぜん」。 意味: not at all。
Q0035,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［文化］",とおく,ぶんが,ぶんか,ぶぬか,C,「文化」の読みは「ぶんか」。 意味: culture。
Q0036,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［天気予報］",てんきよほ,でんぎよぼう,てぬきよほう,てんきよほう,D,「天気予報」の読みは「てんきよほう」。 意味: weather forecast。
Q0037,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［景色］",かたい,げじぎ,れきし,けしき,D,「景色」の読みは「けしき」。 意味: scenery。
Q0038,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［世話］",せわす,わする,せわする,ぜわずる,C,「世話」の読みは「せわする」。 意味: looking after。
Q0039,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［片付ける］",がたづける,かたづける,がだづげる,かたづけ,B,「片付ける」の読みは「かたづける」。 意味: to (clean) tidy up (v.t.)。
Q0040,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［お陰］",おがげ,たのしみ,けいさつ,おかげ,D,「お陰」の読みは「おかげ」。 意味: thanks or owing to。
Q0041,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［娘］",きかい,むずめ,かいがん,むすめ,D,「娘」の読みは「むすめ」。 意味: daughter (humble)。
Q0042,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［事］",たてる,こと,ごど,まける,B,「事」の読みは「こと」。 意味: thing(s)。
Q0043,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［場所］",きみ,ばしょ,ばしよ,ばじょ,B,「場所」の読みは「ばしょ」。 意味: place。
Q0044,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［警察］",いさつ,かいさつ,けいさつ,けいさ,C,「警察」の読みは「けいさつ」。 意味: police。
Q0045,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［向かう］",むがう,すむ,さげる,むかう,D,「向かう」の読みは「むかう」。 意味: to face。
Q0046,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［倒れる］",たおる,たおれ,だおれる,たおれる,D,「倒れる」の読みは「たおれる」。 意味: to collapse。
Q0047,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［ご主人］",ごしゅじん,ごじゅじん,ごしゅじ,ごしゅうじん,A,「ご主人」の読みは「ごしゅじん」。 意味: (your。
Q0048,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［焼く］",うえる,やぐ,やく,かわる,C,「焼く」の読みは「やく」。 意味: to bake。
Q0049,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［大学生］",だいがぐぜい,だいがくしょう,いがくせい,だいがくせい,D,「大学生」の読みは「だいがくせい」。 意味: college student。
Q0050,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［通う］",がよう,かよう,わく,みつける,B,「通う」の読みは「かよう」。 意味: to go back and forth。
Q0051,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［彼］",きもの,きまる,かれ,がれ,C,「彼」の読みは「かれ」。 意味: he。
Q0052,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［決して］",けっして,げっじで,っして,けっし,A,「決して」の読みは「けっして」。 意味: never。
Q0053,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［眠る］",ねむる,かじ,ふとる,わけ,A,「眠る」の読みは「ねむる」。 意味: to sleep。
Q0054,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［急ぐ］",とこや,いぞぐ,いそぐ,おちる,C,「急ぐ」の読みは「いそぐ」。 意味: to hurry。
Q0055,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［息子］",むずご,はじめる,むすこ,だいぶ,C,「息子」の読みは「むすこ」。 意味: (humble) son。
Q0056,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［匂い］",におい,とくに,じむしょ,おこなう,A,「匂い」の読みは「におい」。 意味: odor。
Q0057,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［承知］",せいちする,しょうする,しょうちする,じょうぢずる,C,「承知」の読みは「しょうちする」。 意味: consent。
Q0058,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［焼ける］",やげる,たたみ,やける,ほめる,C,「焼ける」の読みは「やける」。 意味: to burn。
Q0059,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［見物］",かんぶつ,けんぶつ,けぬぶつ,けんぶ,B,「見物」の読みは「けんぶつ」。 意味: sightseeing。
Q0060,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［集める］",あづめる,あつめ,あつめる,つめる,C,「集める」の読みは「あつめる」。 意味: to collect。
Q0061,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［学部］",がぐぶ,すぎる,がくぶ,かよう,C,「学部」の読みは「がくぶ」。 意味: department of a university。
Q0062,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［輸出］",ゆしゆつする,ゆじゅづずる,ゆしゅつする,ゆしゅつす,C,「輸出」の読みは「ゆしゅつする」。 意味: export。
Q0063,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［人形］",んぎょう,にんぎょ,にんぎよう,にんぎょう,D,「人形」の読みは「にんぎょう」。 意味: doll。
Q0064,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［立てる］",だでる,たてる,ふむ,ふえる,B,「立てる」の読みは「たてる」。 意味: to stand (something) up。
Q0065,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［倍］",ばい,きみ,もり,あいだ,A,「倍」の読みは「ばい」。 意味: double。
Q0066,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［両方］",りようほう,りょうほう,ょうほう,りょうほ,B,「両方」の読みは「りょうほう」。 意味: both sides。
Q0067,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［留守］",るす,いか,まじめ,るず,A,「留守」の読みは「るす」。 意味: absence。
Q0068,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［非常に］",ひじうに,ひじように,ひじょうに,じょうに,C,「非常に」の読みは「ひじょうに」。 意味: extremely。
Q0069,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［最も］",もっと,もとも,もっとも,もっも,C,「最も」の読みは「もっとも」。 意味: most。
Q0070,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［叱る］",じがる,しなもの,しかる,しがる,C,「叱る」の読みは「しかる」。 意味: to scold。
Q0071,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［食料品］",じょぐりょうびん,ょくりょうひん,しょくりうひん,しょくりょうひん,D,「食料品」の読みは「しょくりょうひん」。 意味: foodstuff。
Q0072,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［工場］",こうじょう,こうょう,ごうじょう,きょうじょう,A,「工場」の読みは「こうじょう」。 意味: factory。
Q0073,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［赤ん坊］",あかぼう,あかんぼ,あかんぼう,かんぼう,C,「赤ん坊」の読みは「あかんぼう」。 意味: baby。
Q0074,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［頑張る］",がんばる,がぬばる,がんる,んばる,A,「頑張る」の読みは「がんばる」。 意味: to try one's best。
Q0075,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［力］",ちがら,ぢがら,ちから,かむ,C,「力」の読みは「ちから」。 意味: strength。
Q0076,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［運ぶ］",はこぶ,たいふう,ばごぶ,ようい,A,「運ぶ」の読みは「はこぶ」。 意味: to transport。
Q0077,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［お嬢さん］",じょうさん,おじょうさん,おじょうざん,おじょうさ,B,「お嬢さん」の読みは「おじょうさん」。 意味: (someone's) daughter (polite)。
Q0078,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［米］",さま,ごめ,いと,こめ,D,「米」の読みは「こめ」。 意味: uncooked rice。
Q0079,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［美しい］",うつしい,うづぐじい,うつくしい,うつくし,C,「美しい」の読みは「うつくしい」。 意味: beautiful。
Q0080,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［機会］",きがい,きかい,ぎがい,きけい,B,「機会」の読みは「きかい」。 意味: chance。
Q0081,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［ぶんぽう］",安心,文化,文法,文学,C,「ぶんぽう」は「文法」と書きます。 意味: grammar。
Q0082,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［じむしょ］",事,事務所,建てる,事故,B,「じむしょ」は「事務所」と書きます。 意味: office。
Q0083,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［けいさつ］",失礼,警察,水泳,競争,B,「けいさつ」は「警察」と書きます。 意味: police。
Q0084,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［だいたい］",大体,大分,大事,大学生,A,「だいたい」は「大体」と書きます。 意味: approximately。
Q0085,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［ふかい］",最初,予習,致す,深い,D,「ふかい」は「深い」と書きます。 意味: deep。
Q0086,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［おじょうさん］",お子さん,お土産,お宅,お嬢さん,D,「おじょうさん」は「お嬢さん」と書きます。 意味: (someone's) daughter (polite)。
Q0087,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［まんなか］",真面目,教会,真中,中々,C,「まんなか」は「真中」と書きます。 意味: middle。
Q0088,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［にげる］",逃げる,再来週,続ける,変わる,A,「にげる」は「逃げる」と書きます。 意味: to escape。
Q0089,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［おこなう］",似る,寝坊,簡単,行う,D,「おこなう」は「行う」と書きます。 意味: to carry out。
Q0090,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［あそび］",規則,具合,遊び,汽車,C,「あそび」は「遊び」と書きます。 意味: play。
Q0091,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［ちゅうしゃじょう］",例えば,濡れる,駐車場,贈り物,C,「ちゅうしゃじょう」は「駐車場」と書きます。 意味: parking lot。
Q0092,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［かじ］",似る,安心,火事,致す,C,「かじ」は「火事」と書きます。 意味: fire。
Q0093,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［ようじ］",用,盗む,用意,用事,D,「ようじ」は「用事」と書きます。 意味: business to take care of。
Q0094,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［そうだんする］",道具,伺う,相談,失礼,C,「そうだんする」は「相談」と書きます。 意味: consultation。
Q0095,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［こんど］",今夜,市民,火事,今度,D,「こんど」は「今度」と書きます。 意味: now。
Q0096,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［さいきん］",最後,最初,最も,最近,D,「さいきん」は「最近」と書きます。 意味: recently。
Q0097,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［たてる］",再来月,建て,下げる,建てる,D,「たてる」は「建てる」と書きます。 意味: to build。
Q0098,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［うつる］",移る,貿易,踏む,合う,A,「うつる」は「移る」と書きます。 意味: to move (from a house)。
Q0099,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［ねぼう］",邪魔,指輪,具合,寝坊,D,「ねぼう」は「寝坊」と書きます。 意味: sleeping in late。
Q0100,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［こくさい］",床屋,以内,国際,最近,C,「こくさい」は「国際」と書きます。 意味: international。
Q0101,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［にがい］",小説,技術,苦い,挨拶,C,「にがい」は「苦い」と書きます。 意味: bitter。
Q0102,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［くらべる］",始める,変える,汚れる,比べる,D,「くらべる」は「比べる」と書きます。 意味: to compare。
Q0103,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［すすむ］",味噌,小説,進む,会議,C,「すすむ」は「進む」と書きます。 意味: to advance。
Q0104,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［いちど］",一生懸命,一度,通る,一杯,B,「いちど」は「一度」と書きます。 意味: once。
Q0105,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［ぶんか］",文学,文法,人口,文化,D,「ぶんか」は「文化」と書きます。 意味: culture。
Q0106,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［たずねる］",起こす,過ぎる,尋ねる,届ける,C,「たずねる」は「尋ねる」と書きます。 意味: to inquire (same as 質問する)。
Q0107,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［こうじょう］",致す,教育,工場,工業,C,「こうじょう」は「工場」と書きます。 意味: factory。
Q0108,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［びじゅつかん］",美しい,美術館,動物園,冷える,B,「びじゅつかん」は「美術館」と書きます。 意味: art gallery。
Q0109,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［せなか］",背中,冷房,校長,高校,A,「せなか」は「背中」と書きます。 意味: back (of body)。
Q0110,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［おまつり］",お祭り,お宅,お子さん,お金持ち,A,「おまつり」は「お祭り」と書きます。 意味: festival。
Q0111,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［つかまえる］",引き出し,赤ちゃん,捕まえる,思い出す,C,「つかまえる」は「捕まえる」と書きます。 意味: to catch。
Q0112,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［めずらしい］",珍しい,変える,運転手,楽しみ,A,「めずらしい」は「珍しい」と書きます。 意味: unusual。
Q0113,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［せんもん］",注射,専門,電灯,謝る,B,「せんもん」は「専門」と書きます。 意味: major。
Q0114,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［おくれる］",お祭り,遅れる,看護婦,痩せる,B,「おくれる」は「遅れる」と書きます。 意味: to (be) become late。
Q0115,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［ぜんぜん］",注意,輸出,全然,日記,C,「ぜんぜん」は「全然」と書きます。 意味: not at all。
Q0116,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［まわり］",花見,気分,周り,眠る,C,「まわり」は「周り」と書きます。 意味: surroundings。
Q0117,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［たのしみ］",楽しみ,楽む,慣れる,非常に,A,「たのしみ」は「楽しみ」と書きます。 意味: pleasure。
Q0118,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［だんせい］",両方,男性,放送,約束,B,「だんせい」は「男性」と書きます。 意味: man。
Q0119,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［しゃちょう］",失敗,一度,社長,社会,C,「しゃちょう」は「社長」と書きます。 意味: president of a company。
Q0120,N4,vocabulary,orthography,"次の文の［　］の言葉を漢字で書くとき、最もよいものを選びなさい。

［むかえる］",悲しい,植える,迎える,痩せる,C,「むかえる」は「迎える」と書きます。 意味: to welcome。
Q0121,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

あしたテストがあるので、今晩たくさん（　　）します。",復習,予約,連絡,出発,A,テスト前は勉強した内容を「復習」する。
Q0122,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

駅の前で友だちを（　　）ています。",歩い,持っ,立っ,待っ,D,人を待つ。「持って」は to hold。
Q0123,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

この荷物は重いので、ひとりでは（　　）ません。",行け,持て,待て,立て,B,持てる = can hold/carry。可能形。
Q0124,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

かぜをひいたので、会社を（　　）しました。",休,終,止,始,A,会社を休む。
Q0125,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

母は毎日本を（　　）います。",聞ん,読ん,見ん,書ん,B,本を読む → 読んで。
Q0126,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

この問題は（　　）から、先生に聞きましょう。",楽しい,難しい,寒い,甘い,B,問題が難しいので聞く。
Q0127,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

電車が（　　）ので、タクシーで行きました。",空いていた,混んでいた,止まっていた,速かった,B,混んでいたのでタクシー。空いていたら電車でよい。
Q0128,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

約束の時間に（　　）しまいました。",遅れて,早くて,正しくて,近くて,A,遅れる = to be late。
Q0129,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

きょうは風が（　　）です。",厚い,甘い,重い,強い,D,風が強い。
Q0130,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

この部屋は（　　）ので、エアコンをつけましょう。",甘い,厚い,熱い,暑い,D,部屋の気温は「暑い」。熱い = hot to touch。
Q0131,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

弟は将来医者に（　　）たいと言っています。",あり,いき,なり,し,C,Nになる。
Q0132,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

この道は工事中で車が（　　）います。",始まって,止まって,決まって,終わって,B,車が止まっている。
Q0133,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

財布を忘れないように（　　）してください。",予約,安心,注意,心配,C,注意する = be careful。
Q0134,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

旅行の前にホテルを（　　）しました。",予約,予習,予定,約束,A,ホテルは予約。約束 = appointment/promise。
Q0135,N4,vocabulary,context,"（　　）に入る最もよいものを選びなさい。

彼は日本語がとても（　　）です。",上手,大事,丈夫,下手,A,上手 = skillful。
